"project_id"	"source_id"	"headline"	"agency"	"date"
332	812	"--Algeria gets 3m-dollar loan from China."	"BBC Monitoring Middle East - Economic"	"16 January 2002"
24	55	".China decides to write off $80 mln debt of some African countries."	"Organisation of Asia-Pacific News Agencies"	"6 January 2007"
19838	6060	"'Brace for Surge in Tourist Arrivals'"	"All Africa"	"28 November 2007"
27828	6920	"'Chinese Too Dominant'"	"All Africa"	"3 May 2004"
17261	5647	"'Chinese Too Dominant'"	"All Africa"	"3 May 2004"
17249	5646	"'Chinese Too Dominant'"	"All Africa"	"3 May 2004"
1305	2676	"'Hat of Neo-Colonialism Can Never Fall On China'"	"All Africa"	"25 October 2006"
666	1474	"'Made in China' now made in Egypt"	"Agence France Presse"	"8 November 2009"
18800	7341	"'Road Motor Services on Recovery Path'"	"All Africa"	"8 January 2008"
19874	6075	"'Road Motor Services on Recovery Path'"	"All Africa"	"8 January 2008"
2123	4141	"'Zambia And China Relationship is Historical'."	"All Africa"	"27 November 2001"
18379	5833	"'ZDF, China to Establish New Type of Strategic Partnership'"	"All Africa"	"28 March 2006"
920	1946	"(China-Africa) 1st Ld: China-Africa trade expected to top 100 billion dollars by 2010"	"Xinhua's China Economic Information Service"	"4 November 2006"
367	886	"(China-Africa) China proposes cooperation with Cape Verde in shipping, communications"	"Xinhua News Agency"	"6 November 2006"
362	875	"(China-Africa) China proposes cooperation with Cape Verde in shipping, communications"	"Xinhua News Agency"	"6 November 2006"
361	874	"(China-Africa) China proposes cooperation with Cape Verde in shipping, communications"	"Xinhua News Agency"	"6 November 2006"
237	623	"(China-Africa) China proposes cooperation with Cape Verde in shipping, communications"	"Xinhua News Agency"	"6 November 2006"
722	1584	"(China-Africa) Hu Jintao highlights China-Ethiopia cooperative partnership"	"Xinhua News Agency"	"4 November 2006"
646	1441	"(China-Africa) Roundup: Chinese, African trade expected to soar by 2010"	"Xinhua News Agency"	"4 November 2006"
15073	5287	"(Recast)China donates medical equipment to Zanzibar gov't"	"Xinhua News Agency"	"11 March 2010"
1923	3786	"(Recast)China donates medical equipment to Zanzibar gov't"	"Xinhua News Agency"	"11 March 2010"
740	1615	"(Special for CAFS) Construction of China-financed Guinea-Bissau's government building gets underway"	"Xinhua News Agency"	"29 August 2008"
1941	3813	"(Special for CAFS) Senegal welcomes Chinese investment in agriculture: president"	"Xinhua News Agency"	"23 July 2008"
572	1316	"(Specially for China-Africa Cooperation Forum)."	"Xinhua News Agency"	"25 September 2000"
1086	2238	"[CHINA-LIBYA HOOKUP]"	"The Washington Times"	"30 June 2000"
18537	5849	"$1,3 Billion Power Deals Sealed"	"All Africa"	"13 June 2006"
30007	7099	"$1,3 Billion Power Deals Sealed"	"All Africa"	"13 June 2006"
18513	5844	"$1,3 Billion Power Deals Sealed"	"All Africa"	"13 June 2006"
13292	5106	"$4.5m From China for Barracks."	"All Africa"	"22 January 2003"
1476	2958	"$4.5m From China for Barracks."	"All Africa"	"22 January 2003"
21621	6463	"$4.5m From China for Barracks."	"All Africa"	"22 January 2003"
1476	2960	"$4.5m From China for Barracks."	"All Africa"	"22 January 2003"
1449	2910	"$4.5m From China for Barracks."	"All Africa"	"22 January 2003"
1478	2968	"$4.5m From China for Barracks."	"All Africa"	"22 January 2003"
1906	3763	"$400m Chinese loan for Tanzania coal plan"	"Daily News"	"13 August 2009"
17755	5730	"$535bn Housing Project Deal Sealed"	"All Africa"	"22 March 2005"
482	1133	"$8.2 Mln Diesel Engine Manufacturing Plant To Be Set Up in Egypt."	"Egyptian News Digest""www.mistnews.com [http://www.mistnews.com/]"	"6 August 2003"
18800	5895	"1 000 More Tractors Expected From China"	"All Africa"	"2 November 2007"
19807	6056	"1 000 More Tractors Expected From China"	"All Africa"	"2 November 2007"
18787	5889	"13 000 Tonnes of Fertilizer Delivered"	"All Africa"	"1 February 2007"
546	1270	"2 edifices, 2 giants illuminate Sino-Egyptian bond of friendship"	"People's Daily Online"	"8 July 2010"
672	1480	"2 edifices, 2 giants illuminate Sino-Egyptian bond of friendship"	"People's Daily Online"	"8 July 2010"
1732	3455	"275 Chinese peacekeeping troops leave for Liberia"	"Xinhua News Agency"	"16 December 2010"
2340	4519	"28 Chinese Doctors Jet in"	"All Africa"	"28 November 2011"
20042	6109	"3 000 to Benefit From Sino Companies' Project"	"All Africa"	"8 August 2008"
20062	6112	"3 000 to Benefit From Sino Companies' Project"	"All Africa"	"8 August 2008"
20069	6113	"3 000 to Benefit From Sino Companies' Project"	"All Africa"	"8 August 2008"
2216	4300	"30 Years of Friendship Observed."	"All Africa"	"3 August 2001"
2214	4298	"30 Years of Friendship Observed."	"All Africa"	"3 August 2001"
2229	4317	"30 Years of Friendship Observed."	"All Africa"	"3 August 2001"
2213	4297	"30 Years of Friendship Observed."	"All Africa"	"3 August 2001"
1723	3440	"42-Member Chinese Delegation Arrives Today"	"All Africa"	"22 April 2010"
1722	3437	"42-Member Chinese Delegation Arrives Today"	"All Africa"	"22 April 2010"
1724	3443	"42-Member Chinese Delegation Arrives Today"	"All Africa"	"22 April 2010"
1673	3344	"42-Member Chinese Delegation Arrives Today"	"All Africa"	"22 April 2010"
22026	6507	"500 more Zimbabweans to benefit from Chinese surgeons' Brightness Trip"	"Xinhua News Agency"	"15 March 2011"
13867	5171	"72 Hours After Chinese Veep Visit, Togolese Support for One China Yields Windfall"	"All Africa"	"28 June 2004"
13819	5165	"72 Hours After Chinese Veep Visit, Togolese Support for One China Yields Windfall"	"All Africa"	"28 June 2004"
2171	4242	"72 Hours After Chinese Veep Visit, Togolese Support for One China Yields Windfall"	"All Africa"	"28 June 2004"
2170	4240	"72 Hours After Chinese Veep Visit, Togolese Support for One China Yields Windfall"	"All Africa"	"28 June 2004"
2169	4237	"72 Hours After Chinese Veep Visit, Togolese Support for One China Yields Windfall"	"All Africa"	"28 June 2004"
