user_id,title,short_description,long_description,title_trans,short_description_trans,long_description_trans,technical assistance?,feasibility study?,purpose code,Difficulty level,Non-natural disaster,activity code1,activity code2,activity code3,activity code4,activity code5,activity code6,activity code7,activity code8,activity code9
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,The Importance of Trust in Political Economy & the Roots and Consequences of Corruption: To participate in a program on The Importance of Trust in Political Economy and the Roots and Consequences of Corruption,,PUBLIC SECTOR FINANCIAL MANAGEMENT,The Importance of Trust in Political Economy & the Roots and Consequences of Corruption: To participate in a program on The Importance of Trust in Political Economy and the Roots and Consequences of Corruption,,,15120,4,,15120.04,,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To combat corruption at the regional level. Proética will work to reduce the risk of corruption by helping regional political parties and candidates develop feasible anti-corruption plans and training civil society organizations to monitor their implementation, once newly elected officials take office. Based on the observations and information collected by civil society, Proética will produce regional reports on the results and recommendations and distribute them to the media and civil society.",,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To combat corruption at the regional level. Proética will work to reduce the risk of corruption by helping regional political parties and candidates develop feasible anti-corruption plans and training civil society organizations to monitor their implementation, once newly elected officials take office. Based on the observations and information collected by civil society, Proética will produce regional reports on the results and recommendations and distribute them to the media and civil society.",,,15120,4,,15120.04,15150.01,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To combat corruption in the Moroccan educational system.  TM will conduct a training workshop for a network of 70 transparency facilitators who will then conduct anti-corruption activities with youth locally.  TM will conduct ongoing creativity workshops that will lead to the development of anti-corruption awareness raising materials such as flyers and cassettes.  Finally, TM will organize a conference targeting corruption in Moroccos educational system.",,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To combat corruption in the Moroccan educational system.  TM will conduct a training workshop for a network of 70 transparency facilitators who will then conduct anti-corruption activities with youth locally.  TM will conduct ongoing creativity workshops that will lead to the development of anti-corruption awareness raising materials such as flyers and cassettes.  Finally, TM will organize a conference targeting corruption in Moroccos educational system.",,,15120,4,,15120.04,11110.02,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,To increase the accountability and transparency of the government. NDI will work with the International Society for Fair Elections and Democracy (ISFED) to advocate for electoral and administrative reform and monitor local elections. ISFED and NDI will also work to increase citizen awareness of the role and responsibility of the local government; distribute information about upcoming local elections; and improve the management of its volunteers during campaigns.,,PUBLIC SECTOR FINANCIAL MANAGEMENT,To increase the accountability and transparency of the government. NDI will work with the International Society for Fair Elections and Democracy (ISFED) to advocate for electoral and administrative reform and monitor local elections. ISFED and NDI will also work to increase citizen awareness of the role and responsibility of the local government; distribute information about upcoming local elections; and improve the management of its volunteers during campaigns.,,,15150,4,,15150.05,15150.06,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To increase young peoples awareness of corruption and its effects, prepare a core cadre of young people to continue anti-corruption training throughout Jordan, and establish GLSC to focus on issues of corruption.  GLSC will lead a training-of-trainers workshop and develop a training manual as the key resources for five anti-corruption training workshops for 125 youth throughout Jordan.",,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To increase young peoples awareness of corruption and its effects, prepare a core cadre of young people to continue anti-corruption training throughout Jordan, and establish GLSC to focus on issues of corruption.  GLSC will lead a training-of-trainers workshop and develop a training manual as the key resources for five anti-corruption training workshops for 125 youth throughout Jordan.",,,15120,5,,15120.04,,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To make government more accountable to citizens in Liberia. NACCSOL will build the institutional capacity of Liberian civil society through assemblies focusing on national development, human rights, governance, social justice and rule of law, and by establishing a resource center for civil society organizations. NACCSOL will hold workshops on practical skills, especially computer and internet skills, and publish a quarterly newsletter.",,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To make government more accountable to citizens in Liberia. NACCSOL will build the institutional capacity of Liberian civil society through assemblies focusing on national development, human rights, governance, social justice and rule of law, and by establishing a resource center for civil society organizations. NACCSOL will hold workshops on practical skills, especially computer and internet skills, and publish a quarterly newsletter.",,,15100,3,,15150.01,15150.07,15140.04,16010.01,15130.01,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To promote a culture of transparency in Libya. Transparency Libya will launch an anti-corruption website that will provide information on combating corruption in Libya.  It will offer primary materials and direct links to major information sources for anti-corruption documentation, legislation, regional and international agreements, news, survey results, and reports. The organization will also conduct research and monitoring on corruption in Libyan public life.",,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To promote a culture of transparency in Libya. Transparency Libya will launch an anti-corruption website that will provide information on combating corruption in Libya.  It will offer primary materials and direct links to major information sources for anti-corruption documentation, legislation, regional and international agreements, news, survey results, and reports. The organization will also conduct research and monitoring on corruption in Libyan public life.",,,15120,5,,15120.04,,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,To promote greater transparency in the Nigerian government. IAP will assess the level of corruption in Nigerian government institutions through the research and publication of the Nigerian Corruption Index 2006. The Index will be presented at a national conference and highly publicized so as to intensify the public debate on corruption and serve as an advocacy tool for anti-corruption legal and administrative frameworks.,,PUBLIC SECTOR FINANCIAL MANAGEMENT,To promote greater transparency in the Nigerian government. IAP will assess the level of corruption in Nigerian government institutions through the research and publication of the Nigerian Corruption Index 2006. The Index will be presented at a national conference and highly publicized so as to intensify the public debate on corruption and serve as an advocacy tool for anti-corruption legal and administrative frameworks.,,,15120,5,,15120.04,,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To reduce the practice of predatory taxation on farming communities in Kailo, Pangi, Kasongo and Kambamare territories of Maniema province. UWAKI will organize workshops to educate Maniema residents about their rights and duties regarding Congolese taxes. Each training session will bring together commercial operators, laborers, development NGOs, customary and political authorities, women farmers, and market women.",,PUBLIC SECTOR FINANCIAL MANAGEMENT,"To reduce the practice of predatory taxation on farming communities in Kailo, Pangi, Kasongo and Kambamare territories of Maniema province. UWAKI will organize workshops to educate Maniema residents about their rights and duties regarding Congolese taxes. Each training session will bring together commercial operators, laborers, development NGOs, customary and political authorities, women farmers, and market women.",,,15120,4,,15120.03,42010.01,,,,,,,
40818398,,PUBLIC SECTOR FINANCIAL MANAGEMENT,"U.S. Department of Treasury, International Affairs Technical Assistance Program.",,PUBLIC SECTOR FINANCIAL MANAGEMENT,"U.S. Department of Treasury, International Affairs Technical Assistance Program.",1,,15120,3,,15120.01,,,,,,,,
