iso2,iso3,adt_code,year,grant_amount,subject,grant_count,foundation_count,country
AE,ARE,110,2006,160000,Education,2,2,United Arab Emirates
AE,ARE,110,2008,136438,Education,4,2,United Arab Emirates
AE,ARE,110,2009,240000,Education,7,2,United Arab Emirates
AE,ARE,110,2010,37000,Education,2,2,United Arab Emirates
AE,ARE,120,2006,22000,Health,1,1,United Arab Emirates
AE,ARE,120,2009,30000,Health,1,1,United Arab Emirates
AE,ARE,150,2008,575000,Government and Civil Society,2,2,United Arab Emirates
AE,ARE,150,2009,575000,Government and Civil Society,2,2,United Arab Emirates
AE,ARE,160,2007,20100,Other Social Infrastructure and Services,1,1,United Arab Emirates
AE,ARE,160,2009,50000,Other Social Infrastructure and Services,1,1,United Arab Emirates
AE,ARE,160,2010,50000,Other Social Infrastructure and Services,2,1,United Arab Emirates
AE,ARE,250,2008,18100,Business and Other Services,1,1,United Arab Emirates
AE,ARE,250,2009,150000,Business and Other Services,1,1,United Arab Emirates
AE,ARE,250,2010,23000,Business and Other Services,1,1,United Arab Emirates
AE,ARE,430,2007,170000,Other Multisector/Cross-cutting,2,2,United Arab Emirates
AE,ARE,430,2008,300000,Other Multisector/Cross-cutting,1,1,United Arab Emirates
AE,ARE,430,2010,200000,Other Multisector/Cross-cutting,1,1,United Arab Emirates
AE,ARE,930,2008,25000,Refugees,1,1,United Arab Emirates
AE,ARE,930,2009,50000,Refugees,1,1,United Arab Emirates
AF,AFG,110,2006,25000,Education,1,1,Afghanistan
AF,AFG,110,2007,55000,Education,1,1,Afghanistan
AF,AFG,110,2008,170000,Education,3,2,Afghanistan
AF,AFG,110,2009,1324791,Education,9,7,Afghanistan
AF,AFG,110,2010,327307,Education,7,6,Afghanistan
AF,AFG,120,2009,30000,Health,1,1,Afghanistan
AF,AFG,120,2010,440980257,Health,8,2,Afghanistan
AF,AFG,130,2009,90000,Population Policies/Programmes and Reproductive Health,1,1,Afghanistan
AF,AFG,150,2007,245000,Government and Civil Society,3,1,Afghanistan
AF,AFG,150,2008,353469,Government and Civil Society,5,2,Afghanistan
AF,AFG,150,2009,1272675,Government and Civil Society,13,8,Afghanistan
AF,AFG,150,2010,930400,Government and Civil Society,7,5,Afghanistan
