"project_id","donor","title","year","year_uncertain","description","sector","sector_comment","crs_sector","status","status_code","flow","all_recipients","sources","sources_count","funding_agency","implementing_agency","donor_agency","donor_agency_count","recipient_agencies","recipient_agencies_count","verified","verified_code","flow_class","flow_class_code","intent","intent_code","active","active_code","factiva_sources","amount","currency","deflators_used","exchange_rates_used","usd_defl","start_actual","start_planned","end_actual","end_planned","recipient_count","recipient_condensed","recipient_cow_code","recipient_oecd_code","recipient_oecd_name","recipient_iso3","recipient_iso2","recipient_un_code","recipient_imf_code","is_commercial","is_commercital","debt_uncertian","line_of_credit","is_cofinanced","loan_type","interest_rate","maturity","grace_period","grant_element"
"528","China","Imported defense equipment","2006","false","According to the UN, in 2006, China exported defense equipment to Republic of Congo, Gabon, Tanzania, Niger, Namibia, and Zimbabwe.The contents of the donation are uncertain. ","Military","","150","Completion","3","In-kind contribution","Unset","","Africa, regional, Congo, Rep., Gabon, Namibia, Niger, Tanzania, Zimbabwe","http://global.factiva.com/aa/?ref=MTPW000020080903e493003bh&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Mixed (No Development)","","Active","1","http://global.factiva.com/aa/?ref=MTPW000020080903e493003bh&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","","","","","7","Africa, regional","552; 565; 436; 510; 484; ; 481","265; 275; 260; 282; 234; 298; 239","Zimbabwe; Namibia; Niger; Tanzania; Congo, Rep.; Africa, regional; Gabon","ZWE; NAM; NER; TZA; COG; ; GAB","ZW; NA; NE; TZ; CG; XR; GA","716; 516; 562; 834; 178; ; 266","698; 728; 692; 738; 634; ; 646","Not Commercial","2","false","false","false","","","","",""
"535","China","Instructors to maintain military equipment","2003","false","In 2003, China and Zimbabwe signed a military cooperation agreement that included the provision of several instructors. The instructors were not to train Zimbabwean troops for combat missions, however, they were there to help in the maintenance of equipment through the National Defense University. The financial amount for this project cannot be found.","Military","","150","Completion","3","Free-standing technical assistance","Unset","","Zimbabwe","http://mil.news.sohu.com/20070323/n248915877.shtml 
      , Local Language Source
      , Donor media or official; http://global.factiva.com/aa/?ref=FPAR000020090823e57100003&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","2","","National Defense University, Academic, Training and Research","National Defense University, Academic, Training and Research","1","Zimbabwe Defence Forces (ZDF), Government Agency","1","Checked","1","Military","4","Representational","","Active","1","http://mil.news.sohu.com/20070323/n248915877.shtml 
        , Factiva
        , Donor media or official; http://global.factiva.com/aa/?ref=FPAR000020090823e57100003&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","01 January 2003","","27 October 2006","","1","Zimbabwe","552","265","Zimbabwe","ZWE","ZW","716","698","Not Commercial","2","false","false","false","","","","",""
"952","China","Construction of military installation","2007","false","'Recently, the Chinese began exploring for oil and building at least one Ethiopian military installation.' The status of the project is unknown.  ","Military","","150","Pipeline/identification","1","In-kind contribution","Unset","","Ethiopia","http://global.factiva.com/aa/?ref=AFNWS00020070125e31p000p2&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=AFNWS00020070125e31p000p2&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","","","","","1","Ethiopia","530","238","Ethiopia","ETH","ET","231","644","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"1120","China","Mozambique to Receive Chinese military aid","2009","false","Mozambique's defense ministry announced on May 20, 2009 that under an agreement recently signed in Beijing, Mozambique would receive 3 million USD in military aid from China.  A defense ministry spokesman said the money would be used to purchase logistical equipment. Confirmation of transaction still needed.  ","Military","","150","Pipeline/identification","1","Grant (excluding debt forgiveness)","Unset","","Mozambique","http://global.factiva.com/redir/default.aspx?P=sa&an=AFPR000020090520e55k005ka&cat=a&ep=ASE 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/redir/default.aspx?P=sa&an=AFPR000020090520e55k005ka&cat=a&ep=ASE 
        , Factiva
        , International media report","3000000.0","EUR","1.0","0.7181","4177691.13","","","","","1","Mozambique","541","259","Mozambique","MOZ","MZ","508","688","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"1196","China","Computer hardware to military","2011","false","In 2011, Gong Yuan Xing, Chinese Ambassador to Senegal, donated computer hardware worth FCFA 1 billion to the Senegalese armed forces. It is unclear what the equipment consisted of and when exactly the delivery was made.","Military","","150","Completion","3","In-kind contribution","Unset","","Senegal","http://global.factiva.com/aa/?ref=BBCAP00020110404e7440018i&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Development","","Active","1","http://global.factiva.com/aa/?ref=BBCAP00020110404e7440018i&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","1000000000.0","XOF","1.206344778","471.8661140917","1756749.19","","","03 April 2011","","1","Senegal","433","269","Senegal","SEN","SN","686","722","Not Commercial","2","false","false","false","","","","",""
"2458","China","Donation of trucks to Ugandan army","2002","false","In March, 2002 during a visit by Chinese Maj. Zhang Bangbong to Ugandan army headquarters in Bombo, Uganda, China donated 50 heavy duty Jiefang trucks to the Ugandan army. Ugandan military officials valued the trucks at 1.3 million USD. During the visit, Maj. Zhang also pledged spaces in Chinese military colleges for Ugandan army officers (See ID#15026).","Military","","150","Completion","3","In-kind contribution","Unset","","Uganda","http://ug.chineseembassy.org/eng/zwgx/t168251.htm 
      , Google US
      , Donor media or official; http://global.factiva.com/aa/?ref=kyodo00020020301dy3100464&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","2","","","","","","","Checked","1","Military","4","Representational","","Active","1","http://ug.chineseembassy.org/eng/zwgx/t168251.htm 
        , Factiva
        , Donor media or official; http://global.factiva.com/aa/?ref=kyodo00020020301dy3100464&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","1300000.0","USD","0.60491092610499","1.0","2149076.74","04 March 2002","","04 March 2002","","1","Uganda","500","285","Uganda","UGA","UG","800","746","Not Commercial","2","false","false","false","","","","",""
"1849","China","Defense Aid","2006","false","In 2006, Nigerian security sources said Nigeria would receive new defense supplies from China would include dozens of patrol boats to secure the swamps and creeks that form the launching pad for rebel attacks.Analysts say Nigeria wants 200 boats to guard the Delta.The status of the supplies is uncertain. ","Military","","150","Pipeline: Pledge","12","In-kind contribution","Unset","","Nigeria","http://global.factiva.com/aa/?ref=FTCOM00020060228e22s0005m&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=FTCOM00020060228e22s0005m&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","","","","","1","Nigeria","475","261","Nigeria","NGA","NG","566","694","Not Commercial","2","false","false","false","","","","",""
"1937","China","Military equipment donation","2007","false","In 2007, China donated to Senegal military equipment worth a total of 1.5 million Euros. The donation consists of trucks, ambulances, and mine-clearing equipment. Further details on the donation are unclear.","Military","","150","Completion","3","In-kind contribution","Unset","","Senegal","http://global.factiva.com/aa/?ref=WDAN000020071205e3c50003k&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Development","","Active","1","http://global.factiva.com/aa/?ref=WDAN000020071205e3c50003k&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","1500000.0","EUR","0.8379948373178","0.7305","2450358.88","","","","","1","Senegal","433","269","Senegal","SEN","SN","686","722","Not Commercial","2","false","false","false","","","","",""
"2019","China","Grant for construction of floating dock","2010","false","On October 23, 2010, Rwandan Defense Minister James Kaberebe and Chinese Defense Minister Liang Guanglie signed a protocol giving Rwanda a grant for the construction of a floating dock for the Rwandan marine regiment. The amount and start and end dates are unknown.","Military","","150","Pipeline: Commitment","11","Grant (excluding debt forgiveness)","Unset","","Rwanda","http://global.factiva.com/aa/?ref=AFPR000020101023e6an005bz&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=AFPR000020101023e6an005bz&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","","","","","1","Rwanda","517","266","Rwanda","RWA","RW","646","714","Not Commercial","2","false","false","false","","","","",""
"2227","China","25m CNY military donation","2003","false","In November of 2003, China donated 25 million CNY worth of military equipment to the Sierra Leonean military during an official visit to the People's Republic of China, where discussions were held to further the relationship between the two countries and their armed forces. The Deputy Defense Minister, Joe Blell, who was accompanied by Alhaji Ibrahim Morekeh Fofanah, Special Assistant to the President, Al-Hassan Kharamoh Kondeh, Director Defence Policy, Mr. Alusine Deen, Sierra Leone's Ambassador to China and his Deputy, Mr. Sahr E. Johnny, on the invitation of the Chinese government, discussed issues that will further strengthen the friendly relations and fruitful cooperation between the two Armed Forces. The head of the Chinese Team, which received the Sierra Leone delegation, was pleased to inform the delegation that the Ministry of National Defence of China has decided to grant a total of RMB 25,000,000 Yuan to the Ministry of Defense in Sierra Leone in respect of what he called Military Aid, assisting in areas of military equipment and training. The project appears to be untied, and it is unclear exactly how the funds were used.","Military","Equipment+Training","150","Implementation","2","In-kind contribution","Unset","","Sierra Leone","http://global.factiva.com/aa/?ref=AFNWS00020031128dzbl004cc&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","China Ministry of National Defense, Government Agency","1","Sierra Leone Defense Ministry, Government Agency","1","Checked","1","Military","4","Representational","","Active","1","http://global.factiva.com/aa/?ref=AFNWS00020031128dzbl004cc&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","25000000.0","CNY","0.62070251737246","8.27703666666667","4866106.65","","","21 November 2003","","1","Sierra Leone","451","272","Sierra Leone","SLE","SL","694","724","Not Commercial","2","false","false","false","","","","",""
