"project_id","donor","title","year","year_uncertain","description","sector","sector_comment","crs_sector","status","status_code","flow","all_recipients","sources","sources_count","funding_agency","implementing_agency","donor_agency","donor_agency_count","recipient_agencies","recipient_agencies_count","verified","verified_code","flow_class","flow_class_code","intent","intent_code","active","active_code","factiva_sources","amount","currency","deflators_used","exchange_rates_used","usd_defl","start_actual","start_planned","end_actual","end_planned","recipient_count","recipient_condensed","recipient_cow_code","recipient_oecd_code","recipient_oecd_name","recipient_iso3","recipient_iso2","recipient_un_code","recipient_imf_code","is_commercial","is_commercital","debt_uncertian","line_of_credit","is_cofinanced","loan_type","interest_rate","maturity","grace_period","grant_element"
"25","China","Local Hospital (Inactive: same as #688)","2003","false","'Lin said that the Chinese government has continued to provide free or low interest loans to fund Botswana projects like the multipurpose youth centre, local hospitals and some road construction projects. ''我们公司顺利完成了在南非博茨瓦纳的一个总承包项目，并且赢利可观。很难想象，这个项目前期规划并不完善，执政党出于下届选举需要，项目立项、决策阶段均比较仓促。建成时却赢得了业主、政府及社会各界的一致赞誉，这不能不说是个奇迹。管好分包有妙招——聘用外方协调人我们2003年1月与博茨瓦纳卫生部签订了马哈拉佩医院设计—施工总承包合同。合同总金额为4300万美元，合同工期为35个月；医院占地面积约15万平方米，总建筑面积49666平方米。马哈拉佩医院是一个大型综合性医院，涉及的专业非常广泛，指定分包的工作量占合同额的40%，在该项目中的主要指定专业分包有电气及医用器材分包、机械分包、电梯分包、发电机分包及锅炉分包等，承担这些分包工程的分包商均是综合型跨国公司，拥有丰富的国际工程管理经验，其技术力量雄厚。我公司作为马哈拉佩医院项目的总承包商，在统筹管理项目的同时，专门聘请了一名项目管理经验丰富的外籍员工担任该项目的协调人，协调各分包商的工作，监督工程质量和进度，同时还聘用了一名经验丰富的南非老估算师，负责项目的管理、对外交往及索赔工作。实践证明，上述人员在中方人员的指挥管理下，不仅解决了在语言交流上的困难，还增强了公司的对外实力。项目实施过程中，管理协调好各方之间的关系，对于全面实施合同、加快进度、提高工程质量起着举足轻重的作用。在马哈拉佩医院项目进行过程中，我们坚持每月召开两次总包与咨询工程师、总包与分包之间的协调会，会上主要解决每一阶段项目实施过程中存在的问题，处理项目信息，并协调有关各方的工作。现场材料供应——提前订货质优价廉材料管理工作是加快项目进度、降低项目成本的重要环节，材料供应又是保证项目能否顺利进行的关键。由于马哈拉佩医院项目设计所使用的大部分材料需要从南非、欧洲进口，而当地产品的生产种类和规模又有一定的局限性，因此提前订货就显得非常重要。加之该医院项目是浮动标，订货采购程序较为复杂。为了降低项目成本，我们在确保材料质量和供货周期的情况下，货比三家，选择质优、价实、供货周期短的供货商与其签订供货合同。在控制材料计划、材料质量、材料价格和供货周期这些材料管理工作关键程序的同时，明确材料人员的职责范围，制定出分阶段材料供货到场的计划安排，定期召开材料方面的协调会，确保生产所需材料、构件、设备等及时供应。抓紧索赔——FIDIC成护身符　　马哈拉佩医院项目在签订合同时是浮动标，因此索赔工作就显得尤为重要。尽管材料报价、购买、索赔工作程序繁琐，但它关系到整个项目的经济效益，所以我们将其作为工程索赔工作中的一项重要环节来抓。材料索赔是按照购买时的材料价与投标时的基价比较进行索赔的，因此在材料报价、购买、索赔时我们严格依据FIDIC条款和该项目估价师的要求，对该项目的所有材料在订货前向业主方估价师提供报价。　　该项目严格遵守FIDIC条款，条款对时间的要求很严格(承包商的索赔必须在28天内发出)，因此，各种索赔资料准备得是否及时、详细、有理有据是索赔能否成功的关键。由于我们吃透FIDIC条款，索赔工作进展得有序有效，公司获得了可观的经济效益。大胆本地化——迅速赢得市场　　在境外实施工程总承包项目，走属地化经营管理之路，是成功实施项目的关键，是扩大当地市场占有量的必由之路。属地化经营管理的实质就是要实行属地化策略，要在经营管理的各个层面按照项目所在国的规章、制度和运作方式规范操作流程。人才属地化是实现属地化管理的一项重要内容，要充分利用当地的人力资源，充分发挥他们在语言、文化、社会关系、沟通协调上的优势，甚至有些重要的项目管理岗位都可以大胆地起用当地人才。　　我公司1989年4月在博茨瓦纳注册，目前当地雇员已经超过1500人，分布在办事处总部、各项目经理部和施工现场各个层面。属地化经营使我们拿到了马哈拉佩医院的总承包项目，并通过该项目的成功实施，进一步提升了我公司在当地的知名度，使我公司在当地占领了一定的市场份额，成为当地主要承包商之一。　　我们公司在从国内选派有经验的优秀项目管理人员的同时，着手搞好当地劳动力资源的收集和管理，建立当地分包商及工人档案，从中选取以前合作过且表现较好的分包商，以及经验丰富、技术较熟练的工人。该项目提供给当地人才的工作岗位比较全面，包括项目管理人员、秘书、文员、估算师、工长、技术工种及普通劳力，该项目在实施高峰期中方人员约8 0人，当地工人超过1000人。'","Health","","","Implementation","2","Loan (excluding debt rescheduling)","Botswana","http://global.factiva.com/aa/?ref=LQAF000020041210e0c80003v&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report; http://www.abbs.com.cn/jzsb/read.php?cate=5&recid=22703       , Local Language Source      , Donor media or official","2","","","","","","","Checked","1","ODA-like","2","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=LQAF000020041210e0c80003v&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report; http://www.abbs.com.cn/jzsb/read.php?cate=5&recid=22703         , Factiva        , Donor media or official","","","","","","","","","","1","Botswana","571","227","Botswana","BWA","BW","72","616","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"62","China","Health Sector Loan (Inactive See Project #54) ","2005","false",">'Around USD 100 million dollars of the China credit line will be spent in the rehabilitation and equipping of various health posts in the central Huambo Province, announced on Thursday, here, the Angolan Health minister, Sebastiao Veloso, at the start of his two-day working visit to this region.>> >>The mentioned sum will be used in the rehabilitation and equipping of the regional hospital, located in the province's capital (Huambo city) and in the construction of two district hospitals.>> >>Minister Sebastiao Veloso will also assess the functioning of his sector in the province and the problems that hinders the proper rendering of health assistance to the local population.>> >>Among various problems faced by the health sector in the province it is highlighted the continuous degradation of infrastructures, shortage of health staff, salary problems and the lack of essential medicines in all functioning health unities. '>","Health","","","Pipeline/identification","1","Loan (excluding debt rescheduling)","Angola","http://global.factiva.com/aa/?ref=AFNWS00020050805e185000uo&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , Recipient media or official","1","","","","","","","Checked","1","Vague (Official Finance)","5","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=AFNWS00020050805e185000uo&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , Recipient media or official","100000000.0","USD","0.69665104956371","1.0","143543887.66","","","","","1","Angola","540","225","Angola","AGO","AO","24","614","Not Commercial","2","false","false","false","","","","",""
"77","China","PPIAF - Rehabilitation of Prince Said Ibrahim international airport in Moroni (Duplicate #411)","2004","false","(PPIAF) Renovation work on the Prince Said Ibrahim international airport in Moroni.  Construction of a new terminal, hangars and a car park, as well as the surface finishing of some parts of the runway.  Expected to be completed by 2007.; Political/Resource Considerations: Political; Chinese Commitment: USD 7.6 Million; PPIAF-ID:69","Infrastructure, Energy and Mining","Transport; Airport","","Completion","3","Loan (excluding debt rescheduling)","Comoros","PPIAF_consultant             ","1","Export-Import Bank of China, Government Agency","China Airport Construction Group Corporation of CAAC, State-Owned Company","China Airport Construction Group Corporation of CAAC, State-Owned Company; Export-Import Bank of China, Government Agency","2","","","Checked","1","Vague (Official Finance)","5","Unset","","Inactive","2","PPIAF_consultant         , Factiva        ","7600000.0","USD","0.66362944683753","1.0","11452174.16","","01 November 2004","","","1","Comoros","581","233","Comoros","COM","KM","174","632","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"109","China","PPIAF - Letlhakeng-Kang road, Phase 2 (Inactive: Same as #105)","2006","false","(PPIAF) Letlhakeng-Kang (Phase 2) road project.; Political/Resource Considerations: Political; Total Project Cost: USD 40 Million; Chinese Commitment: USD 18.6 Million; PPIAF-ID:46","Infrastructure, Energy and Mining","Transport; Road","","Implementation","2","Loan (excluding debt rescheduling)","Botswana","http://www.fmprc.gov.cn/chn/gxh/cgb/zcgmzysx/fz/1206_4/1206x1/             ; http://global.factiva.com/redir/default.aspx?P=sa&an=afnws00020030315dz3e000h1&cat=a&ep=ASE       , Factiva      , International media report","2","Export-Import Bank of China, Government Agency","China State Construction Engineering Corporation (CSCEC), State-Owned Company","China State Construction Engineering Corporation (CSCEC), State-Owned Company; Export-Import Bank of China, Government Agency","2","","","Checked","1","Vague (Official Finance)","5","Unset","","Inactive","2","http://www.fmprc.gov.cn/chn/gxh/cgb/zcgmzysx/fz/1206_4/1206x1/         , Factiva        ; http://global.factiva.com/redir/default.aspx?P=sa&an=afnws00020030315dz3e000h1&cat=a&ep=ASE         , Factiva        , International media report","18600000.0","USD","0.74305214409552","1.0","25031890.63","","01 September 2006","","","1","Botswana","571","227","Botswana","BWA","BW","72","616","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"126","China","PPIAF - National Data Transmission Backbone Infrastructure project (Duplicate)","2007","false","(PPIAF) Uganda's parliament approved a US$30mln loan from China to fund investment in the IT and communications sector. The money, provided by the Export and Import Bank of China will fund Uganda's National Data Transmission Backbone Infrastructure project, which is aimed at improving the visibility of government activities and connecting citizens to e-government infrastructure. The first phase of the project will take place in Kampala, Entebbe and Jinja, before being extended to other districts by the end of 2010. The Chinese loan has a grace period of only five years, and 2% rate of interest. Government had already signed a memorandum of understanding with Chinese telecoms equipment manufacturer Huawei Technologies, before the loan was issued.; Chinese Commitment: USD 30 Million; PPIAF-ID:298","Infrastructure, Energy and Mining","Telecom; Fixed and mobile assets","","Implementation","2","Loan (excluding debt rescheduling)","Uganda","http://www3.fmprc.gov.cn/chn/pds/gjhdq/gj/fz/1206_45_7/1206x2/t438655.htm             ","1","Export-Import Bank of China, Government Agency","Huawei Technologies Co., Ltd., Private Sector","Export-Import Bank of China, Government Agency; Huawei Technologies Co., Ltd., Private Sector","2","","","Checked","1","ODA-like","2","Unset","","Inactive","2","http://www3.fmprc.gov.cn/chn/pds/gjhdq/gj/fz/1206_45_7/1206x2/t438655.htm         , Factiva        ","30000000.0","USD","0.8379948373178","1.0","35799743.23","","01 July 2007","","","1","Uganda","500","285","Uganda","UGA","UG","800","746","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"2024","China","Construction of clinic (Duplicate)","2011","false","5 September 2011 09:08 AMAll Africa AFNWS English (c) 2011 AllAfrica, All Rights Reserved Sep 05, 2011 (The East African/All Africa Global Media via COMTEX) -- Rwanda has become the latest beneficiary of China's foray into East Africa as the Asian giant seeks to control the region's economic landscape, also targeted by Japan and India.China last week gave Rwanda $15.7 million to boost trade between the two countries. Rwanda will receive half the amount as a grant and the remaining 50 million yuan as a five-year interest free loan, said Gao Hucheng, Chinese Deputy Commerce Minister and international trade representative.Chinese firms are increasingly making strategic entries into Kigali, targeting mainly infrastructure projects. China will send an expert group to Rwanda for a feasibility study of a 25km road construction project in the capital city of Kigali, financed by the Chinese government. Chinese engineers are also expected to construct a new ultra-modern clinic in Masaka, a suburb of Kigali.Kigali for its part is sending a delegation to China, led by Prime Minister Bernard Makuza as it seeks to attract investment from the world's second largest economy.'We are beginning to see requests from China after a visit last year. We have another trip planned for November and this is to try to attract more Chinese investors into Rwanda,' John Gara, the chief executive officer of the Rwanda Development Board, the institution charged with promoting investment in the country, told The EastAfrican last week. 'China is also one of the few countries where RDB has an office (in Shenzhen) and it has proved useful,' he saidA July 2011 International Monetary Fund report on Rwanda shows foreign direct investments decline from $118.7 million in 2009 to $42.3 million last year.RDB is targeting at least $500 million in new investments both local and foreign in 2011. 'In the past, we have been promoting Rwanda in a more general way, but now, we are not only targeting certain companies, but also targeting projects,' Mr Gara said.While Asian investment is steadily rising in the country with the RDB registering 20 companies from the region within a period of six months this year with an estimated value of $16.5 million, Chinese investment is still relatively low compared with India. Between January and July this year, Indian investments were estimated at $9.2 million, mainly in agro-processing, manufacturing and administrative and support service sectors, while Chinese projects amounted to $5 million, mainly in tourism, construction and manufacturing sectors.'The figures for Chinese FDI are not yet as high as we would want them to be, but certainly we are beginning to see interest,' Mr Gara observed.Chinese ambassador to Rwanda Shu Zhan said while the country has registered tremendous progress in improving its business environment, including setting up a One-Stop Centre for registration, the 'paperwork' is just one aspect of the whole investment environment needed to attract investment.'The regional situation, especially the uncertain stability of the Great Lakes Region, also affects on the confidence of investors. Rwanda still has room to improve the investment environment, for example, by offering tax breaks,' he said.Trade between the two countries doubled to $76.4 million in the first half of this year compared with the same period last year.'There are various areas of interest such as telecoms, mining and engineering. More than 100 such entrepreneurs have already visited Rwanda to get a better understanding of the environment,' he said.According to Standard Bank Group Ltd, Chinese investment in Africa may grow by 70 per cent to $570 billion by 2015 from 2009, while blateral trade will double to $300 billion by 2015. Chinese firms, led by state-owned China National Offshore Company (CNOOC) are some of the major players in the oil exploration business in East Africa.  ","Health","","","Pipeline/identification","1","Unset","Rwanda","http://global.factiva.com/aa/?ref=AFNWS00020110905e7950010t&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report","1","","","","","","","Raw","0","Vague (Official Finance)","5","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=AFNWS00020110905e7950010t&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report","","","","","","","","","","1","Rwanda","517","266","Rwanda","RWA","RW","646","714","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"142","China","DUPLICATE: PPIAF - Acquisition of 40% of the Bisha project in Gash-Barka Region from a Canadian company Nevsun by the state-owned firm","2007","false","(PPIAF) China Exim Bank provided a commercial loan of US$ 60 million to the Eritrea Government who spent the loan to acquire 40% of the Bisha project from a Canadian company Nevsun.; Political/Resource Considerations: Copper and gold; Total Project Cost: USD 60 Million; Chinese Commitment: USD 60 Million; PPIAF-ID:359See ID# 577","Unset","Minerals; Multiple (Copper, gold)","","Completion","3","Loan (excluding debt rescheduling)","Eritrea","","0","Export-Import Bank of China, Government Agency","","Export-Import Bank of China, Government Agency","1","","","Checked","1","Vague (Official Finance)","5","Unset","","Inactive","2","","60000000.0","USD","0.8379948373178","1.0","71599486.45","","01 November 2007","","","1","Eritrea","531","271","Eritrea","ERI","ER","232","643","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"166","China","PPIAF - Purchase 50% share in chromium and smelteries from Samancor Chrome","2009","false","(PPIAF) In 2009, Sinosteel signed an agreement with Samancor Chrome, a South African company, to purchase its 50% share in chromium and smelteries to create Tubatse Chrome Minerals Pty., Ltd. The agreement was signed during Sino-Africa Forum. The Chinese company agreed to spend $200 million USD to purchase the share. The project has been completed. PPIAF-ID:422","Infrastructure, Energy and Mining","Minerals; Chromium","320","Completion","3","Foreign direct investment (no public support)","South Africa","http://news.sinosteel.com/magazine/html/63/581/content/2923.shtml       , Local Language Source      , Donor media or official","1","Sinosteel Corporation, State-Owned Company","","Sinosteel Corporation, State-Owned Company","1","","","Checked","1","FDI +Gov","9","Unset","","Inactive","2","http://news.sinosteel.com/magazine/html/63/581/content/2923.shtml         , Factiva        , Donor media or official","200000000.0","USD","1.0","1.0","200000000.0","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","Commercial","1","false","false","false","Unset","Unset","Unset","Unset","Unset"
"175","China","PPIAF - Zambia's Luanshya Copper mines","2009","false","(PPIAF) State-owned China Nonferrous Mining Group Corporation (CNMG) will invest $300 million USD the Luanshya copper mines to expand and improve production at the mine. It is unclear how the funds were used, and the project is ultimately tied. PPIAF-ID:395 ","Infrastructure, Energy and Mining","Minerals; Copper","320","Pipeline: Pledge","12","Foreign direct investment (no public support)","Zambia","http://zambia24.com/other-news/news/luanshya-mine-creates-more-jobs.html       , Google SA      , Recipient media or official; http://www.lusakatimes.com/2010/03/30/chinese-investment-heads-luanshya/       , Google US      , Recipient media or official","2","","China Nonferrous Metal Mining (Group) Co., Ltd. (CNMC), State-Owned Company","China Nonferrous Metal Mining (Group) Co., Ltd. (CNMC), State-Owned Company","1","","","Suspicious","0","FDI +Gov","9","Commercial","","Active","1","http://zambia24.com/other-news/news/luanshya-mine-creates-more-jobs.html         , Factiva        , Recipient media or official; http://www.lusakatimes.com/2010/03/30/chinese-investment-heads-luanshya/         , Factiva        , Recipient media or official","300000000.0","USD","1.0","1.0","300000000.0","","01 October 2009","","","1","Zambia","551","288","Zambia","ZMB","ZM","894","754","Commercial","1","false","false","false","","","","",""
"232","China","PPIAF - Rehabilitate 6 roads in N'Djamena","2007","false","On December 28, 2007, the handover ceremony between China and Chad for the rehabilitation of 6 roads in N'Djamena, with a total length of 9.7 km took place. The project was designed by the Beijing Municipal Engineering Design Institute, and the construction was undertaken by Guangdong Construction International Construction Co.","Infrastructure, Energy and Mining","Transport; Road","210","Completion","3","Grant (excluding debt forgiveness)","Chad","http://jjhzj.mofcom.gov.cn/aarticle/g/201001/20100106724981.html             ; ppiaf_consultant             ","2","China Ministry of Commerce, Government Agency","Guangdong Construction Engineering Group Co., State-Owned Company","China Ministry of Commerce, Government Agency; Guangdong Construction Engineering Group Co., State-Owned Company","2","","","Checked","1","ODA-like","2","Unset","","Inactive","2","http://jjhzj.mofcom.gov.cn/aarticle/g/201001/20100106724981.html         , Factiva        ; ppiaf_consultant         , Factiva        ","","","","","","","01 November 2007","","","1","Chad","483","232","Chad","TCD","TD","148","628","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
